time,spread_DASH,volumefrom_DASH,volumeto_DASH,return_DASH,spread_ETH,volumefrom_ETH,volumeto_ETH,return_ETH,spread_LTC,volumefrom_LTC,volumeto_LTC,return_LTC,spread_XMR,volumefrom_XMR,volumeto_XMR,return_XMR,spread_XRP,volumefrom_XRP,volumeto_XRP,return_XRP
1514912400,-0.9428317760328567,0.5678940434828851,0.5852350123928561,0.001122754491017952,-0.9625165912827136,-0.6614357344827979,-0.6201623903413389,-0.007734806629834279,1.7619657163516893,1.2898537926368485,1.238913759125959,-0.03375068045726726,1.7310493326036407,1.739172696193528,1.7383501217528818,-0.025330812854442386,-0.4107388443353802,-0.804415829062861,-0.8020361466934018,0.009138381201044599
1514916000,1.771036222692438,1.6982102327917006,1.6935800219649313,-0.04436137071651103,1.78256995838025,1.7269954749509315,1.7121231164691402,-0.06649697741011773,1.1694999158952348,1.2364594623893266,1.166518579996413,-0.04450704225352109,1.6673939540122709,1.553614593987458,1.542200533589002,-0.04538401861908459,1.751776486746392,1.5344384865369372,1.4828476822260461,-0.07050452781371297
1514919600,1.0702549910248342,1.2403362491298806,1.16761858169354,-0.023471117485982518,1.1733343092151574,1.2391543873826263,1.141892409164051,-0.015167007498295804,0.017232417095719287,0.9604811529483442,0.8431765095864427,-0.001768867924528239,0.952290177908493,0.9634121851874816,0.8315591990762607,-0.024786672084518457,1.2647151006696398,1.4009086918683378,1.3418021178214417,-0.019485038274182243
1514923200,-0.10622255953454789,-0.588763033007602,-0.7029518989823236,0.0017358792896249309,-0.2750744766216441,-0.5349829458278876,-0.6470208915689827,-0.0005191209551825837,-0.3771877696683532,-1.082696596450068,-1.235803129062788,-0.005316007088009389,-0.22298768301162478,-0.7954019808042635,-0.898882499203696,0.00708333333333333,-0.19312753510377959,-0.31326045524159285,-0.36277736137388955,0.02129169623846683
1514926800,0.027783865825845657,-0.8703834312441373,-0.8900247720066146,0.029592108770994496,-0.46091982985913554,-0.6574158995751647,-0.6802294509234784,0.013331024930747892,-1.3157868053092783,-1.3159708271694601,-1.305965857406888,0.005344418052256605,-1.2202685969615559,-1.0410713725516083,-1.0463410476106645,0.010757136946627943,-0.6919525225291568,-0.6882966704566735,-0.7050725854580823,0.0006949270326614965
1514930400,0.6314723569121536,0.27774093139909756,0.3823610348534739,0.031330916623511174,-0.7075157016168002,-0.9707423689437951,-0.9753606595597479,-0.015718434990603103,-0.900061206243105,-0.8614292311789137,-0.8563125087246739,-0.00649734199645613,-0.9859142589260104,-0.7721143847832089,-0.7567974717985013,-0.002046663937781301,-0.8706769554731025,-0.8986441768377483,-0.9103220134197538,0.002777777777777768
1514934000,-0.9337506402030126,-0.29827288958680076,-0.22285147966316024,-0.010042681395932784,-0.9078267197963625,-0.741973160021199,-0.7403085123638574,0.011629925360180371,-0.8672558454238374,-0.5840063663522261,-0.5741848392600662,0.007134363852556502,-0.5842992925672619,-0.5101802335741678,-0.4833621258986655,0.015586546349466657,-0.34135862435199443,-0.14581114268321763,-0.07186048404559416,0.028393351800554134
1514937600,-0.6152136626843137,-0.9068752673957488,-0.8359030685837073,-0.010778594978442801,-0.6639500632991465,-0.5627193240259882,-0.5013861766837991,0.017844886753603406,-0.810955329314828,-0.5586056619176296,-0.555655724519499,0.0,-0.6183500737391641,-1.6953610804336114,-1.7416567214141023,-0.006058158319870777,-1.2182385363360866,-1.020737558073808,-0.9525708436378887,-0.010774410774410659
1514941200,-0.9106658984701048,-0.9920334844363976,-0.963126767535489,-0.009229585950519148,-0.8628456512036585,0.6143771535545313,0.6843426187682753,-0.016351989211058737,1.4294347071795637,1.7666427829570983,1.7755602390386032,0.0035419126328217754,-1.6711665937103404,0.759334958374447,0.8255598324657724,0.0008126777732631041,-1.1127756066470675,-0.4047205425491333,-0.34757362182672735,0.008168822328114222
1514944800,-0.1675935839306339,-0.7588980863293874,-0.7778150666630812,-0.02393582610945799,0.08180654776580444,0.8730144852919275,0.7861847200907681,-0.021936589545843987,1.6446947052145784,1.5840744062405316,1.5416744762491934,-0.028235294117647136,1.4877105674316489,-0.46464013456453795,-0.47187571540485485,-0.020706455542022106,1.6165166837884462,1.695564723396916,1.7027489462024759,0.035786630654963014
1514948400,-1.6189578873525772,-0.915716769272674,-0.9395793918457853,0.0019883351007423666,-1.1416669089185394,0.19352851990305944,0.019058670701669285,0.010338181181005712,-0.4119857361591689,0.17899769100551616,0.03919901218163011,0.009079903147699575,0.47978680878361196,-1.2671340554539743,-1.2938960880142443,0.013266998341625147,-0.3650333824146436,-0.3136520497619322,-0.2908934093891122,-0.01629726205997395
1514952000,-1.3547705720351613,-0.9666491458755958,-0.9813057209632564,-0.006085461039820106,-1.3540899113443134,-0.4156928751243733,-0.5502819174210196,-0.006416926812348289,-0.9429080709444262,-0.37440922462126885,-0.45730891300409515,-0.00359928014397104,-0.13303802104754625,-0.9885197705449749,-0.9847316813000955,-0.0045008183306055605,-0.23866718525271646,-0.4123266916745515,-0.3947695916743626,0.009277667329357309
1514955600,-0.8930540736742326,-1.025172698509042,-0.9776949221669925,0.008385465193664343,-0.5092816232508669,-1.650432937156117,-1.575843021900475,0.01693140164077489,-1.0879239473529734,-1.5003781921890011,-1.4920746044331958,0.0018061408789886713,0.8045191821287176,0.5901663053789893,0.6100716189157561,0.013974517057131042,-0.7457270675612944,-0.7873116008512967,-0.7625559650747024,0.01707156927117537
