end,start
1518323700000,1518321600000.0
1518243300000,1518242415439.0
1518170955439,1518170775439.0
1518170655439,1518170535439.0
1518170415439,1518049740000.0
1515042360000,1515034860000.0
1513604040000,1513600200000.0
1513592040000,1513591281469.0
