date,return_DASH,return_ETH,return_LTC,return_XMR,return_XRP
2015-08-08 20:00:00,0.007469134129318267,-0.03854012846709498,-0.0037021675346022853,0.004749372997747248,-0.012426219322771104
2015-08-09 00:00:00,-0.0026777982361002595,0.023946303698901383,-0.006550297381221815,-0.03044615384615401,0.032085561497326553
2015-08-09 04:00:00,0.009958481738287617,-0.0857643967712226,0.008153628037198102,-0.052081845733961685,0.013715330691862038
2015-08-09 08:00:00,0.007121643887756379,0.08142170405978932,-0.00938219544846075,0.05231947437802109,-0.012327119663258945
2015-08-09 12:00:00,-0.01451055471294671,-0.017986362966996405,-0.004103425512320125,0.033970022707659586,0.0182648401826484
2015-08-09 16:00:00,-0.020137722002721348,-0.07585432454393604,0.00903718680245058,-0.01713468128723572,-0.006875934230194614
2015-08-09 20:00:00,0.0004402991287568714,-0.007935968844812735,0.00165273696738244,0.02223491844848624,0.01685731487055997
2015-08-10 00:00:00,-0.00045726345409780045,-0.09111311446101633,0.007884201255564882,-0.01571819037921185,-0.01332149200710453
2015-08-10 04:00:00,-8.239657298914072e-05,0.06302419017326533,-0.0010509959485371922,-0.0075567828251400515,0.0018001800180014182
2015-08-10 08:00:00,0.016340758505786646,0.002133866668766471,-0.0004460431175014046,-0.004612484667505412,-0.010182689427972402
2015-08-10 12:00:00,-0.024543975784561023,0.021446446741389513,-0.0036079579184971067,-0.0033937007874014213,-0.013313161875945667
2015-08-10 16:00:00,-0.003394006980225517,0.019073076923076693,0.0001492860045377853,-0.024243693163412905,-0.009506286415209675
2015-08-10 20:00:00,0.0033838463255948525,0.011447054072516893,0.0066265060240962015,-0.0069635345605887355,0.0027863777089778274
2015-08-11 00:00:00,0.008318094604797377,-0.04474760440610159,0.003429084380610403,-0.012561103387543238,-0.0009262117937633985
2015-08-11 04:00:00,0.0036279827814649224,0.0234375,-0.002386258438216715,-0.01667217175887692,-0.005871446229913313
2015-08-11 08:00:00,-0.0004149611904337158,0.13740458015267176,0.0030954076372873285,-0.03487122210932048,-0.004351880634131278
2015-08-11 12:00:00,0.013800405546867678,0.26174496644295275,0.0032010785926379626,-0.010297706835119214,-0.02060568217296299
2015-08-11 16:00:00,-0.00795493498094424,0.051765957446808564,0.008693356216376902,-0.0199085674095566,-0.023908192540643913
2015-08-11 20:00:00,-0.01397787234042569,-0.228738899115975,-0.011773944454624097,0.0329115854342239,-0.0016329196603527274
2015-08-12 00:00:00,0.012500690502824208,0.167193432260349,0.007554326520665899,0.019544157812235285,-0.014066077854105408
2015-08-12 04:00:00,-0.00388642003513906,0.27807506158690565,-0.01254390300328101,-0.011311754684838027,0.002654280026542777
2015-08-12 08:00:00,-0.011117672229353781,-0.016477067930267597,-0.006955306332989464,0.003687366462195918,0.011250827266711338
2015-08-12 12:00:00,0.0057939834306786064,0.03912634441641205,0.00591420911528151,0.007725321888411907,-0.023232984293194092
2015-08-12 16:00:00,-0.010500738252492758,-0.032274713553315126,-0.0030756437796837233,-0.005528109028960726,0.009715242881072061
2015-08-12 20:00:00,-0.011736521739130423,0.021726666666666672,-0.013566295595264788,-0.014912077840875004,0.007299270072993025
2015-08-13 00:00:00,0.01539547189932633,0.032913782116112955,0.008040463171873569,-0.01758977480219115,0.0016469038208166698
2015-08-13 04:00:00,-0.0034670710571925722,0.06334884504432403,-0.0065715493652610535,0.03139299211413693,-0.014140085498191124
2015-08-13 08:00:00,8.695659734492267e-07,0.11558728304240651,0.0006901217861976505,-0.0033166286234060927,0.0036691127418275737
2015-08-13 12:00:00,-0.01304347826086949,0.3845208976047543,-0.019614339224621857,-0.0016143266105599352,0.002658690594881996
2015-08-13 16:00:00,0.013377973568281742,-0.11791531195191751,0.01055027206708914,-0.059718868575370676,0.01226383824991717
2015-08-13 20:00:00,0.00853602554026156,0.08877807153581507,0.0296176639996506,0.014816343375980257,-0.015062213490504073
2015-08-14 00:00:00,0.0,-0.06569883860632741,0.004208902059843256,-0.039181928685365075,0.011303191489361541
2015-08-14 04:00:00,-0.01674307458090596,0.20306621802153213,0.002547758929202004,0.059224944739688645,-0.0006574621959235527
2015-08-14 08:00:00,-0.0021603044065301447,-0.049890262325298584,-0.009903766960274951,0.01011441993046902,0.02598684210526314
2015-08-14 12:00:00,0.0016553672912076323,-0.09123625000000002,0.010028100758441072,-0.028307567878822493,-0.02116062840654065
2015-08-14 16:00:00,-0.00231578947368416,-0.05668552470320243,-0.010351853741552564,0.04493782259195411,0.020307893874877303
2015-08-14 20:00:00,0.0,-0.05365995917177013,0.005277299363837029,-0.0020260178791748906,0.005778491171749334
2015-08-15 00:00:00,0.005627066188365948,0.021416024653312604,0.0032835615459341216,0.009152940870266857,0.004149377593360981
2015-08-15 04:00:00,0.0028729803455269654,-0.057170096802076964,-0.010528148715871821,0.010462652114668014,-0.014621741894469187
2015-08-15 08:00:00,-0.008419017197217937,0.038876737797219674,0.006600611666457867,-0.006168349137069318,-0.006129032258064382
2015-08-15 12:00:00,-0.006954524793188477,0.007546600256584268,-0.001425103273631767,0.004473056788559138,0.0006491398896462108
2015-08-15 16:00:00,-0.0012855484696927544,-0.02522015472356265,-0.005853782112242412,-0.0026463143361202812,0.005189750243269842
2015-08-15 20:00:00,-0.0033155234759452146,-0.10663791751607354,0.008416456149643148,0.017330000640902288,0.0003226847370114694
2015-08-16 00:00:00,-0.005041417360513778,-0.13796281181048886,-0.0011272047967062493,0.06714377512064229,0.023548387096774315
2015-08-16 04:00:00,0.0036983101484955316,0.09957035227041344,0.018990066225165414,-0.03240215988161588,-0.0006303183107470023
